Shape, Size, Even, Side1, Side2, Side3, Side4 ,Result
Line, Small, false,4095,0,0,0,0
Line, Large, true,2,2,2,2,0
Line, Small, true,4095,4095,4095,4095,0
Circle, Large, true,2,0,0,0,0
Circle, Small, false,4095,2,4095,2,0
Circle, Large, false,2,4095,2,4095,0
Ellipse, Small, true,2,0,0,0,0
Ellipse, Large, false,4095,2,2,4095,0
Ellipse, Large, false,2,4095,4095,2,0
Equilateral, Small, true,4095,0,0,0,0
Equilateral, Large, false,2,2,2,0,0
Equilateral, Small, true,4095,4095,4095,0,0
Isosceles, Small, true,4095,0,0,0,0
Isosceles, Large, false,2,2,2,2,0
Isosceles, Small, true,4095,4095,4095,4095,0
Scalene, Small, true,4095,0,0,0,0
Scalene, Large, false,2,2,2,2,0
Scalene, Large, false,4095,4095,4095,4095,0
Square, Small, true,4095,0,0,0,0
Square, Large, false,2,2,2,2,0
Square, Large, true,2,4095,4095,4095,0
Rectangle, Small, true,4095,0,0,0,0
Rectangle, Large, false,2,2,2,2,0
Rectangle, Small, false,4095,4095,4095,4095,0
Rectangle, Small, true,2,2,0,0,0
Ellipse, Small, true,2,4095,0,0,0
Equilateral, Small, false,4095,4095,2,2,0
Equilateral, Small, true,2,4095,4095,4095,0
